created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2019-12-06,33,83,28.9133,,,,,,
2019-12-09,32,82,29.6945,,,,,,
2019-12-10,32,82,29.648,,,,,,
2019-12-11,32,90,29.3876,,,,,,
2019-12-12,32,88,29.7038,,,,,,
2019-12-13,32,90,29.3876,,,,,,
2019-12-16,32,87,29.5178,,,,,,
2019-12-17,33,88,29.4062,,,,,,
2019-12-18,33,86,29.5271,,,,,,
2019-12-19,33,86,29.6666,,,,,,
2019-12-20,33,84,29.9642,,,,,,
2019-12-23,33,85,29.6852,,,,,,
2019-12-24,33,84,29.741,,,,,,
2019-12-26,32,84,29.4155,,,,,,
2019-12-27,32,83,29.4062,,,,,,
2019-12-30,32,83,29.4899,,,,,,
2019-12-31,32,84,29.8805,,,,,,
2020-01-02,32,83,29.3969,,,,,,
2020-01-03,32,85,29.0528,,,,,,
2020-01-06,32,86,29.1179,,,,,,
2020-01-07,32,86,28.6064,,,,,,
2020-01-08,34,85,28.4483,,,,,,
2020-01-09,33,85,28.439,,,,,,
2020-01-10,33,84,28.5506,,,,,,
2020-01-13,33,85,28.9784,,,,,,
2020-01-14,33,86,29.5085,,,,,,
2020-01-15,34,86,29.3876,,,,,,
2020-01-16,34,84,29.5085,,,,,,
2020-01-17,34,84,28.8575,,,,,,
2020-01-21,34,85,28.8389,,,,,,
2020-01-22,34,85,28.5227,,,,,,
2020-01-23,34,85,28.532,,,,,,
2020-01-24,34,87,28.2809,,,,,,
2020-01-27,33,90,28.2251,,,,,,
2020-01-28,33,87,28.0206,,,,,,
2020-01-29,33,87,27.5463,,,,,,
2020-01-30,34,89,27.8439,,,,,,
2020-01-31,34,91,27.1557,,,,,,
2020-02-03,34,89,27.1092,,,,,,
2020-02-04,33,85,27.1092,,,,,,
2020-02-05,34,83,27.3138,,,,,,
2020-02-06,34,82,27.0255,,,,,,
2020-02-07,34,82,27.4719,,,,,,
2020-02-10,34,82,27.6114,,,,,,
